"Subject","Session","Measure","Explaination"
"T130","RestingBaseline","HR","HR Confidence"
"T130","BaselineWriting","HR","HR Confidence"
"T130","StressCondition","HR","HR Confidence"
"T130","DualTask","HR","HR Confidence"
"T130","Presentation","HR","HR Confidence"
"T136","Presentation","HR","HR Confidence"
"T139","RestingBaseline","PP","Filtered in AllSignals"
"T139","BaselineWriting","PP","Filtered in AllSignals"
"T139","StressCondition","PP","Filtered in AllSignals"
"T139","DualTask","PP","Filtered in AllSignals"
"T139","Presentation","PP","Filtered in AllSignals"
"T140","RestingBaseline","PP","Filtered in AllSignals"
"T140","BaselineWriting","PP","Filtered in AllSignals"
"T140","StressCondition","PP","Filtered in AllSignals"
"T140","DualTask","PP","Filtered in AllSignals"
"T140","Presentation","PP","Filtered in AllSignals"
"T144","DualTask","BR","Filtered in AllSignals"
"T146","RestingBaseline","PP","Filtered in AllSignals"
"T146","BaselineWriting","PP","Filtered in AllSignals"
"T146","StressCondition","PP","Filtered in AllSignals"
"T146","DualTask","PP","Filtered in AllSignals"
"T146","Presentation","PP","Filtered in AllSignals"
"T153","BaselineWriting","BR","Filtered in AllSignals"
"T154","Presentation","HR","HR Confidence"
"T155","RestingBaseline","PP","Filtered in AllSignals"
"T155","BaselineWriting","PP","Filtered in AllSignals"
"T155","StressCondition","PP","Filtered in AllSignals"
"T155","DualTask","PP","Filtered in AllSignals"
"T155","Presentation","PP","Filtered in AllSignals"
"T158","RestingBaseline","PP","Filtered in AllSignals"
"T158","BaselineWriting","PP","Filtered in AllSignals"
"T158","StressCondition","PP","Filtered in AllSignals"
"T158","DualTask","PP","Filtered in AllSignals"
"T158","Presentation","PP","Filtered in AllSignals"
"T160","Presentation","HR","HR Confidence"
"T162","RestingBaseline","HR","HR Confidence"
"T162","RestingBaseline","PP","Filtered in AllSignals"
"T162","BaselineWriting","HR","HR Confidence"
"T162","BaselineWriting","PP","Filtered in AllSignals"
"T162","StressCondition","HR","HR Confidence"
"T162","StressCondition","PP","Filtered in AllSignals"
"T162","DualTask","HR","HR Confidence"
"T162","DualTask","PP","Filtered in AllSignals"
"T162","Presentation","HR","HR Confidence"
"T162","Presentation","PP","Filtered in AllSignals"
"T167","RestingBaseline","PP","Filtered in AllSignals"
"T167","BaselineWriting","PP","Filtered in AllSignals"
"T167","StressCondition","PP","Filtered in AllSignals"
"T167","DualTask","PP","Filtered in AllSignals"
"T167","Presentation","PP","Filtered in AllSignals"
"T172","RestingBaseline","PP","Filtered in AllSignals"
"T172","BaselineWriting","PP","Filtered in AllSignals"
"T172","StressCondition","PP","Filtered in AllSignals"
"T172","DualTask","PP","Filtered in AllSignals"
"T172","Presentation","PP","Filtered in AllSignals"
"T173","Presentation","HR","HR Confidence"
"T176","DualTask","BR","Filtered in AllSignals"
"T176","Presentation","HR","HR Confidence"
"T178","RestingBaseline","HR","HR Confidence"
"T178","BaselineWriting","HR","HR Confidence"
"T178","StressCondition","HR","HR Confidence"
"T178","DualTask","HR","HR Confidence"
"T178","Presentation","HR","HR Confidence"
"T180","RestingBaseline","PP","Filtered in AllSignals"
"T180","BaselineWriting","PP","Filtered in AllSignals"
"T180","StressCondition","PP","Filtered in AllSignals"
"T180","DualTask","PP","Filtered in AllSignals"
"T180","Presentation","PP","Filtered in AllSignals"
